column,dtype,missing_count,unique_count,description
age,float64,0,42,"Fitur hasil preprocessing untuk model, termasuk hasil encoding/scaling atau target."
sleep_hours,float64,0,501,"Fitur hasil preprocessing untuk model, termasuk hasil encoding/scaling atau target."
sleep_quality_score,float64,0,831,"Fitur hasil preprocessing untuk model, termasuk hasil encoding/scaling atau target."
daily_screen_time_hours,float64,0,901,"Fitur hasil preprocessing untuk model, termasuk hasil encoding/scaling atau target."
phone_usage_before_sleep_minutes,float64,0,120,"Fitur hasil preprocessing untuk model, termasuk hasil encoding/scaling atau target."
poor_quality_and_short_sleep,float64,0,2,"Fitur hasil preprocessing untuk model, termasuk hasil encoding/scaling atau target."
high_phone_usage_low_sleep,float64,0,2,"Fitur hasil preprocessing untuk model, termasuk hasil encoding/scaling atau target."
sleep_quality_category_good,float64,0,2,"Fitur hasil preprocessing untuk model, termasuk hasil encoding/scaling atau target."
sleep_quality_category_moderate,float64,0,2,"Fitur hasil preprocessing untuk model, termasuk hasil encoding/scaling atau target."
sleep_quality_category_poor,float64,0,2,"Fitur hasil preprocessing untuk model, termasuk hasil encoding/scaling atau target."
phone_usage_before_sleep_category_high,float64,0,2,"Fitur hasil preprocessing untuk model, termasuk hasil encoding/scaling atau target."
phone_usage_before_sleep_category_low,float64,0,2,"Fitur hasil preprocessing untuk model, termasuk hasil encoding/scaling atau target."
phone_usage_before_sleep_category_medium,float64,0,2,"Fitur hasil preprocessing untuk model, termasuk hasil encoding/scaling atau target."
occupation_Designer,float64,0,2,"Fitur hasil preprocessing untuk model, termasuk hasil encoding/scaling atau target."
occupation_Doctor,float64,0,2,"Fitur hasil preprocessing untuk model, termasuk hasil encoding/scaling atau target."
occupation_Freelancer,float64,0,2,"Fitur hasil preprocessing untuk model, termasuk hasil encoding/scaling atau target."
occupation_Manager,float64,0,2,"Fitur hasil preprocessing untuk model, termasuk hasil encoding/scaling atau target."
occupation_Researcher,float64,0,2,"Fitur hasil preprocessing untuk model, termasuk hasil encoding/scaling atau target."
occupation_Software Engineer,float64,0,2,"Fitur hasil preprocessing untuk model, termasuk hasil encoding/scaling atau target."
occupation_Student,float64,0,2,"Fitur hasil preprocessing untuk model, termasuk hasil encoding/scaling atau target."
occupation_Teacher,float64,0,2,"Fitur hasil preprocessing untuk model, termasuk hasil encoding/scaling atau target."
gender_Female,float64,0,2,"Fitur hasil preprocessing untuk model, termasuk hasil encoding/scaling atau target."
gender_Male,float64,0,2,"Fitur hasil preprocessing untuk model, termasuk hasil encoding/scaling atau target."
gender_Other,float64,0,2,"Fitur hasil preprocessing untuk model, termasuk hasil encoding/scaling atau target."
stress_category,object,0,3,"Fitur hasil preprocessing untuk model, termasuk hasil encoding/scaling atau target."
stress_category_encoded,int64,0,3,"Fitur hasil preprocessing untuk model, termasuk hasil encoding/scaling atau target."
