age,gender,occupation,daily_screen_time_hours,phone_usage_before_sleep_minutes,sleep_hours,sleep_quality_score,stress_level,caffeine_intake_cups,physical_activity_minutes,notifications_received_per_day,mental_fatigue_score,stress_category,sleep_duration_category,sleep_quality_category,phone_usage_before_sleep_category,daily_screen_time_category,sleep_deficit_hours,poor_quality_and_short_sleep,high_phone_usage_low_sleep,high_screen_high_fatigue,notification_intensity_per_hour,priority_segment
56,Female,Designer,3.26,86,5.31,7.72,3.49,0,35,119,3.57,low,short,good,high,low,1.6900000000000004,0,1,0,4.958333333333333,general_users
46,Female,Teacher,1.85,32,7.36,9.7,3.01,0,16,299,1.91,low,ideal,good,medium,low,0.0,0,0,0,12.458333333333334,general_users
32,Female,Designer,3.04,107,4.5,6.38,5.03,0,17,21,6.05,medium,short,moderate,high,low,2.5,0,1,0,0.875,general_users
25,Male,Software Engineer,9.0,36,6.68,5.53,10.0,0,3,220,9.92,high,ideal,moderate,medium,high,0.3200000000000003,0,0,1,9.166666666666666,high_screen_time
38,Female,Teacher,3.52,56,7.57,6.69,6.71,4,92,167,5.99,medium,ideal,moderate,medium,low,0.0,0,0,0,6.958333333333333,general_users
56,Male,Teacher,7.26,10,7.79,6.16,10.0,2,50,198,7.85,high,ideal,moderate,low,high,0.0,0,0,1,8.25,high_screen_time
36,Female,Teacher,4.56,83,6.81,6.81,5.38,0,19,39,5.52,medium,ideal,moderate,high,moderate,0.1900000000000004,0,0,0,1.625,general_users
40,Male,Manager,3.36,89,6.5,8.75,3.48,2,66,127,4.5,low,ideal,good,high,low,0.5,0,0,0,5.291666666666667,general_users
28,Male,Student,2.3,109,7.57,8.05,3.46,3,103,99,2.52,low,ideal,good,high,low,0.0,0,0,0,4.125,general_users
28,Female,Manager,9.75,46,4.73,5.52,10.0,3,56,121,10.0,high,short,moderate,medium,high,2.2699999999999996,0,0,1,5.041666666666667,high_screen_time
41,Male,Designer,5.69,65,7.4,5.78,7.9,1,13,86,7.91,high,ideal,moderate,high,moderate,0.0,0,0,0,3.5833333333333335,general_users
53,Female,Designer,2.03,88,8.6,5.79,5.23,0,91,294,3.37,medium,long,moderate,high,low,0.0,0,0,0,12.25,general_users
57,Male,Designer,2.79,3,7.41,10.0,1.87,3,111,203,1.57,low,ideal,good,low,low,0.0,0,0,0,8.458333333333334,general_users
41,Male,Student,4.67,82,4.23,4.66,7.93,4,43,286,9.04,high,short,poor,high,moderate,2.7699999999999996,1,1,0,11.916666666666666,low_sleep_quality
20,Male,Designer,5.9,76,6.53,5.36,8.09,4,105,104,8.29,high,ideal,moderate,high,moderate,0.46999999999999975,0,0,0,4.333333333333333,general_users
39,Female,Manager,2.64,82,7.63,7.14,5.35,2,24,80,5.84,medium,ideal,moderate,high,low,0.0,0,0,0,3.3333333333333335,general_users
19,Male,Freelancer,3.5,76,4.22,8.25,4.36,4,63,206,4.57,medium,short,good,high,low,2.7800000000000002,0,1,0,8.583333333333334,general_users
41,Female,Manager,8.05,54,7.81,6.23,6.99,0,1,104,5.75,medium,ideal,moderate,medium,high,0.0,0,0,0,4.333333333333333,high_screen_time
47,Male,Freelancer,4.76,11,5.41,6.82,7.48,3,37,131,5.57,high,short,moderate,low,moderate,1.5899999999999999,0,0,0,5.458333333333333,general_users
55,Male,Teacher,1.01,65,6.94,8.61,2.94,3,77,209,1.97,low,ideal,good,high,low,0.05999999999999961,0,0,0,8.708333333333334,general_users
