age,sleep_hours,sleep_quality_score,sleep_quality_category,daily_screen_time_hours,phone_usage_before_sleep_minutes,phone_usage_before_sleep_category,poor_quality_and_short_sleep,high_phone_usage_low_sleep,occupation,gender,stress_category
56,5.31,7.72,good,3.26,86,high,0,1,Designer,Female,low
46,7.36,9.7,good,1.85,32,medium,0,0,Teacher,Female,low
32,4.5,6.38,moderate,3.04,107,high,0,1,Designer,Female,medium
25,6.68,5.53,moderate,9.0,36,medium,0,0,Software Engineer,Male,high
38,7.57,6.69,moderate,3.52,56,medium,0,0,Teacher,Female,medium
56,7.79,6.16,moderate,7.26,10,low,0,0,Teacher,Male,high
36,6.81,6.81,moderate,4.56,83,high,0,0,Teacher,Female,medium
40,6.5,8.75,good,3.36,89,high,0,0,Manager,Male,low
28,7.57,8.05,good,2.3,109,high,0,0,Student,Male,low
28,4.73,5.52,moderate,9.75,46,medium,0,0,Manager,Female,high
41,7.4,5.78,moderate,5.69,65,high,0,0,Designer,Male,high
53,8.6,5.79,moderate,2.03,88,high,0,0,Designer,Female,medium
57,7.41,10.0,good,2.79,3,low,0,0,Designer,Male,low
41,4.23,4.66,poor,4.67,82,high,1,1,Student,Male,high
20,6.53,5.36,moderate,5.9,76,high,0,0,Designer,Male,high
39,7.63,7.14,moderate,2.64,82,high,0,0,Manager,Female,medium
19,4.22,8.25,good,3.5,76,high,0,1,Freelancer,Male,medium
41,7.81,6.23,moderate,8.05,54,medium,0,0,Manager,Female,medium
47,5.41,6.82,moderate,4.76,11,low,0,0,Freelancer,Male,high
55,6.94,8.61,good,1.01,65,high,0,0,Teacher,Male,low
19,8.83,7.93,good,1.49,36,medium,0,0,Doctor,Male,low
38,8.97,4.85,poor,4.95,113,high,0,0,Freelancer,Female,high
50,7.17,9.57,good,1.54,22,low,0,0,Software Engineer,Female,low
29,6.46,6.38,moderate,2.57,54,medium,0,0,Researcher,Male,medium
39,4.89,6.15,moderate,7.55,18,low,0,0,Designer,Female,high
42,5.04,5.6,moderate,5.32,66,high,0,1,Student,Female,medium
44,6.15,3.71,poor,5.34,87,high,0,0,Freelancer,Male,high
59,7.51,6.23,moderate,6.38,22,low,0,0,Student,Female,high
45,7.85,6.87,moderate,8.1,3,low,0,0,Designer,Male,high
33,5.11,8.77,good,2.43,17,low,0,0,Doctor,Female,low
32,6.68,7.34,moderate,2.56,11,low,0,0,Manager,Female,medium
20,6.96,8.54,good,2.09,34,medium,0,0,Designer,Male,medium
54,8.47,3.12,poor,9.43,26,low,0,0,Student,Male,high
24,8.38,8.36,good,6.2,42,medium,0,0,Software Engineer,Other,medium
38,8.09,7.94,good,1.83,77,high,0,0,Doctor,Female,low
26,6.58,7.57,good,2.99,94,high,0,0,Researcher,Female,medium
56,4.33,6.57,moderate,7.53,66,high,0,1,Designer,Male,high
35,5.67,8.39,good,1.26,68,high,0,1,Freelancer,Male,low
21,7.11,5.33,moderate,7.53,63,high,0,0,Software Engineer,Male,high
42,7.19,2.99,poor,9.2,92,high,0,0,Researcher,Male,high
31,8.25,5.44,moderate,1.51,102,high,0,0,Designer,Female,high
26,5.9,7.08,moderate,2.68,51,medium,0,0,Doctor,Female,low
43,8.68,9.37,good,1.02,16,low,0,0,Student,Female,low
19,4.82,7.73,good,1.98,82,high,0,1,Manager,Male,low
37,4.25,5.36,moderate,6.55,98,high,0,1,Freelancer,Female,medium
45,4.88,7.55,good,1.4,32,medium,0,0,Manager,Female,medium
24,6.31,5.72,moderate,4.83,71,high,0,0,Doctor,Female,medium
25,8.11,7.31,moderate,5.53,51,medium,0,0,Researcher,Female,medium
52,4.77,3.95,poor,9.16,100,high,1,1,Researcher,Other,high
31,6.74,5.41,moderate,5.27,34,medium,0,0,Teacher,Female,high
34,7.88,9.68,good,2.28,19,low,0,0,Manager,Male,low
53,4.17,8.47,good,3.6,80,high,0,1,Designer,Male,medium
57,4.21,4.78,poor,7.05,44,medium,1,0,Software Engineer,Other,high
21,6.45,7.69,good,2.01,76,high,0,0,Software Engineer,Female,medium
19,4.91,7.12,moderate,3.09,67,high,0,1,Freelancer,Male,medium
23,6.25,3.07,poor,9.96,49,medium,0,0,Manager,Male,high
59,4.22,8.49,good,1.05,57,medium,0,0,Doctor,Female,low
21,8.88,8.71,good,2.37,29,low,0,0,Freelancer,Other,low
46,7.27,4.77,poor,8.59,69,high,0,0,Doctor,Male,high
35,7.43,10.0,good,1.91,1,low,0,0,Doctor,Female,low
43,6.55,7.06,moderate,1.3,78,high,0,0,Software Engineer,Female,low
51,8.12,7.27,moderate,2.09,33,medium,0,0,Student,Male,low
